country,holiday_date,holiday_name,type,leave_year
US,2026-01-01,New Year's Day,public,2026
US,2026-01-19,Martin Luther King Jr. Day,public,2026
US,2026-02-16,Presidents' Day,optional,2026
US,2026-05-25,Memorial Day,public,2026
US,2026-06-19,Juneteenth,public,2026
US,2026-07-03,Independence Day (observed),public,2026
US,2026-09-07,Labor Day,public,2026
US,2026-10-12,Indigenous Peoples' Day,optional,2026
US,2026-11-11,Veterans Day,optional,2026
US,2026-11-26,Thanksgiving Day,public,2026
US,2026-11-27,Day after Thanksgiving,public,2026
US,2026-12-24,Christmas Eve,optional,2026
US,2026-12-25,Christmas Day,public,2026
US,2026-12-31,New Year's Eve,optional,2026
IN,2026-01-01,New Year's Day,public,2026
IN,2026-01-26,Republic Day,public,2026
IN,2026-03-04,Holi,public,2026
IN,2026-04-03,Good Friday,optional,2026
IN,2026-04-14,Regional New Year,optional,2026
IN,2026-05-01,Labour Day,optional,2026
IN,2026-08-15,Independence Day,public,2026
IN,2026-08-26,Ganesh Chaturthi,optional,2026
IN,2026-10-02,Gandhi Jayanti,public,2026
IN,2026-10-20,Dussehra,public,2026
IN,2026-11-08,Diwali,public,2026
IN,2026-11-09,Diwali (second day),optional,2026
IN,2026-12-25,Christmas Day,public,2026
IN,2026-12-31,New Year's Eve,optional,2026
UK,2026-01-01,New Year's Day,public,2026
UK,2026-01-02,New Year Holiday (Scotland),optional,2026
UK,2026-03-17,St Patrick's Day (NI),optional,2026
UK,2026-04-03,Good Friday,public,2026
UK,2026-04-06,Easter Monday,public,2026
UK,2026-05-04,Early May Bank Holiday,public,2026
UK,2026-05-25,Spring Bank Holiday,public,2026
UK,2026-07-13,"Battle of the Boyne (NI, observed)",optional,2026
UK,2026-08-31,Summer Bank Holiday,public,2026
UK,2026-11-30,St Andrew's Day (Scotland),optional,2026
UK,2026-12-24,Christmas Eve,optional,2026
UK,2026-12-25,Christmas Day,public,2026
UK,2026-12-28,Boxing Day (observed),public,2026
UK,2026-12-31,New Year's Eve,optional,2026
