employee_id,leave_type,leave_type_label,leave_year,entitled_days,carried_over_days,taken_days,pending_days,available_days,carryover_expires_on,as_of_date
EMP-1001,ANNUAL,Annual leave (PTO),2026,14.4,0.0,4.1,1.8,8.5,2027-03-31,2026-08-01
EMP-1001,SICK,Sick leave,2026,7.2,0.0,5.0,0.0,2.2,,2026-08-01
EMP-1001,WELLBEING,Wellbeing days,2026,1.2,0.0,0.0,0.0,1.2,,2026-08-01
EMP-1001,VOLUNTEER,Volunteering day,2026,0.6,0.0,0.0,0.0,0.6,,2026-08-01
EMP-1002,ANNUAL,Annual leave (PTO),2026,24.0,0.0,14.5,2.0,7.5,2027-03-31,2026-08-01
EMP-1002,SICK,Sick leave,2026,12.0,0.0,1.0,0.0,11.0,,2026-08-01
EMP-1002,WELLBEING,Wellbeing days,2026,2.0,0.0,0.0,0.0,2.0,,2026-08-01
EMP-1002,VOLUNTEER,Volunteering day,2026,1.0,0.0,1.0,0.0,0.0,,2026-08-01
EMP-1003,ANNUAL,Annual leave (PTO),2026,24.0,2.0,7.1,1.0,17.9,2027-03-31,2026-08-01
EMP-1003,SICK,Sick leave,2026,12.0,0.0,3.0,0.0,9.0,,2026-08-01
EMP-1003,WELLBEING,Wellbeing days,2026,2.0,0.0,1.0,0.0,1.0,,2026-08-01
EMP-1003,VOLUNTEER,Volunteering day,2026,1.0,0.0,1.0,0.0,0.0,,2026-08-01
EMP-1004,ANNUAL,Annual leave (PTO),2026,24.0,2.0,3.8,3.0,19.2,2027-03-31,2026-08-01
EMP-1004,SICK,Sick leave,2026,12.0,0.0,0.0,0.0,12.0,,2026-08-01
EMP-1004,WELLBEING,Wellbeing days,2026,2.0,0.0,0.0,0.0,2.0,,2026-08-01
EMP-1004,VOLUNTEER,Volunteering day,2026,1.0,0.0,1.0,0.0,0.0,,2026-08-01
EMP-1005,ANNUAL,Annual leave (PTO),2026,24.0,5.0,11.3,0.0,17.7,2027-03-31,2026-08-01
EMP-1005,SICK,Sick leave,2026,12.0,0.0,6.0,0.0,6.0,,2026-08-01
EMP-1005,WELLBEING,Wellbeing days,2026,2.0,0.0,2.0,0.0,0.0,,2026-08-01
EMP-1005,VOLUNTEER,Volunteering day,2026,1.0,0.0,0.0,0.0,1.0,,2026-08-01
EMP-1006,ANNUAL,Annual leave (PTO),2026,24.0,0.0,13.8,0.0,10.2,2027-03-31,2026-08-01
EMP-1006,SICK,Sick leave,2026,12.0,0.0,2.0,0.0,10.0,,2026-08-01
EMP-1006,WELLBEING,Wellbeing days,2026,2.0,0.0,0.0,0.0,2.0,,2026-08-01
EMP-1006,VOLUNTEER,Volunteering day,2026,1.0,0.0,0.0,0.0,1.0,,2026-08-01
EMP-1007,ANNUAL,Annual leave (PTO),2026,24.0,0.0,10.2,0.0,13.8,2027-03-31,2026-08-01
EMP-1007,SICK,Sick leave,2026,12.0,0.0,6.0,0.0,6.0,,2026-08-01
EMP-1007,WELLBEING,Wellbeing days,2026,2.0,0.0,0.0,0.0,2.0,,2026-08-01
EMP-1007,VOLUNTEER,Volunteering day,2026,1.0,0.0,1.0,0.0,0.0,,2026-08-01
EMP-1008,ANNUAL,Annual leave (PTO),2026,24.0,0.0,16.7,3.0,4.3,2027-03-31,2026-08-01
EMP-1008,SICK,Sick leave,2026,12.0,0.0,4.0,0.0,8.0,,2026-08-01
EMP-1008,WELLBEING,Wellbeing days,2026,2.0,0.0,1.0,0.0,1.0,,2026-08-01
EMP-1008,VOLUNTEER,Volunteering day,2026,1.0,0.0,1.0,0.0,0.0,,2026-08-01
EMP-1009,ANNUAL,Annual leave (PTO),2026,24.0,0.0,20.5,2.0,1.5,2027-03-31,2026-08-01
EMP-1009,SICK,Sick leave,2026,12.0,0.0,5.0,0.0,7.0,,2026-08-01
EMP-1009,WELLBEING,Wellbeing days,2026,2.0,0.0,0.0,0.0,2.0,,2026-08-01
EMP-1009,VOLUNTEER,Volunteering day,2026,1.0,0.0,0.0,0.0,1.0,,2026-08-01
EMP-1010,ANNUAL,Annual leave (PTO),2026,14.4,0.0,6.5,0.6,7.3,2027-03-31,2026-08-01
EMP-1010,SICK,Sick leave,2026,7.2,0.0,5.0,0.0,2.2,,2026-08-01
EMP-1010,WELLBEING,Wellbeing days,2026,1.2,0.0,0.0,0.0,1.2,,2026-08-01
EMP-1010,VOLUNTEER,Volunteering day,2026,0.6,0.0,0.0,0.0,0.6,,2026-08-01
EMP-1011,ANNUAL,Annual leave (PTO),2026,24.0,0.0,10.2,0.0,13.8,2027-03-31,2026-08-01
EMP-1011,SICK,Sick leave,2026,12.0,0.0,0.0,0.0,12.0,,2026-08-01
EMP-1011,WELLBEING,Wellbeing days,2026,2.0,0.0,1.0,0.0,1.0,,2026-08-01
EMP-1011,VOLUNTEER,Volunteering day,2026,1.0,0.0,0.0,0.0,1.0,,2026-08-01
EMP-1012,ANNUAL,Annual leave (PTO),2026,24.0,2.0,7.3,3.0,15.7,2027-03-31,2026-08-01
EMP-1012,SICK,Sick leave,2026,12.0,0.0,3.0,0.0,9.0,,2026-08-01
EMP-1012,WELLBEING,Wellbeing days,2026,2.0,0.0,0.0,0.0,2.0,,2026-08-01
