request_id,employee_id,leave_type,start_date,end_date,working_days,status,submitted_on,approver_id,decided_on
LR-2026-2001,EMP-1011,SICK,2026-09-30,2026-10-02,3,Approved,2026-09-11,EMP-1012,2026-09-28
LR-2026-2002,EMP-1019,ANNUAL,2026-05-15,2026-05-19,5,Approved,2026-05-06,EMP-1023,2026-05-13
LR-2026-2003,EMP-1002,SICK,2026-06-24,2026-06-26,3,Approved,2026-06-13,EMP-1023,2026-06-23
LR-2026-2004,EMP-1010,WELLBEING,2026-04-12,2026-04-16,5,Pending,2026-03-31,EMP-1008,
LR-2026-2005,EMP-1007,SICK,2026-11-08,2026-11-08,1,Declined,2026-10-22,EMP-1008,2026-11-05
LR-2026-2006,EMP-1005,SICK,2026-10-22,2026-10-22,1,Approved,2026-10-11,EMP-1023,2026-10-20
LR-2026-2007,EMP-1020,ANNUAL,2026-04-15,2026-04-15,1,Approved,2026-04-05,EMP-1023,2026-04-12
LR-2026-2008,EMP-1013,ANNUAL,2026-04-22,2026-04-26,5,Approved,2026-04-08,EMP-1008,2026-04-20
LR-2026-2009,EMP-1010,WELLBEING,2026-09-30,2026-10-02,3,Pending,2026-09-16,EMP-1008,
LR-2026-2010,EMP-1014,SICK,2026-08-23,2026-08-27,5,Declined,2026-08-02,EMP-1008,2026-08-20
LR-2026-2011,EMP-1007,ANNUAL,2026-08-12,2026-08-14,3,Approved,2026-07-22,EMP-1008,2026-08-11
LR-2026-2012,EMP-1020,SICK,2026-05-03,2026-05-03,1,Approved,2026-04-20,EMP-1023,2026-04-30
LR-2026-2013,EMP-1018,WELLBEING,2026-06-07,2026-06-07,1,Approved,2026-06-02,EMP-1008,2026-06-04
LR-2026-2014,EMP-1014,ANNUAL,2026-10-25,2026-10-25,1,Pending,2026-10-13,EMP-1008,
LR-2026-2015,EMP-1009,SICK,2026-09-25,2026-09-29,5,Declined,2026-09-20,EMP-1008,2026-09-22
LR-2026-2016,EMP-1014,ANNUAL,2026-06-25,2026-06-29,5,Approved,2026-06-16,EMP-1008,2026-06-22
LR-2026-2017,EMP-1020,SICK,2026-07-26,2026-07-28,3,Approved,2026-07-17,EMP-1023,2026-07-25
LR-2026-2018,EMP-1010,SICK,2026-07-31,2026-08-01,2,Approved,2026-07-23,EMP-1008,2026-07-28
LR-2026-2019,EMP-1001,ANNUAL,2026-07-01,2026-07-03,3,Pending,2026-06-17,EMP-1023,
LR-2026-2020,EMP-1023,WELLBEING,2026-06-05,2026-06-14,10,Declined,2026-05-15,EMP-1008,2026-06-02
LR-2026-2021,EMP-1004,ANNUAL,2026-07-25,2026-07-29,5,Approved,2026-06-30,EMP-1023,2026-07-23
LR-2026-2022,EMP-1020,ANNUAL,2026-06-16,2026-06-18,3,Approved,2026-06-07,EMP-1023,2026-06-15
LR-2026-2023,EMP-1002,ANNUAL,2026-10-27,2026-10-31,5,Approved,2026-10-10,EMP-1023,2026-10-25
LR-2026-2024,EMP-1024,SICK,2026-04-05,2026-04-09,5,Pending,2026-03-23,EMP-1008,
LR-2026-2025,EMP-1003,ANNUAL,2026-08-04,2026-08-04,1,Declined,2026-07-31,EMP-1023,2026-08-01
LR-2026-2026,EMP-1014,ANNUAL,2026-10-13,2026-10-17,5,Approved,2026-09-18,EMP-1008,2026-10-10
LR-2026-2027,EMP-1020,WELLBEING,2026-04-30,2026-05-04,5,Approved,2026-04-08,EMP-1023,2026-04-29
LR-2026-2028,EMP-1012,SICK,2026-07-28,2026-08-01,5,Approved,2026-07-14,EMP-1008,2026-07-26
LR-2026-2029,EMP-1011,WELLBEING,2026-08-30,2026-09-03,5,Pending,2026-08-27,EMP-1012,
LR-2026-2030,EMP-1022,ANNUAL,2026-04-29,2026-05-01,3,Declined,2026-04-17,EMP-1023,2026-04-28
